username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
futbolred,Noticias 📋 y estadísticas 📈 del fútbol profesional en Colombia y el mundo ⚽️ Síganos en Instagram y en Facebook como @Futbolredcom,Bogotá,642,873191,239950,2008-04-15 21:09:25,2021-05-18 18:45:14,0,"#SelecciónColombia

La Federación Colombiana de Fútbol contó cuál es la agenda para Eliminatorias y Copa América. https://t.co/NYj96iviYm","[{'text': 'SelecciónColombia', 'indices': [0, 18]}]"
SaqueDeMetaCO,"Medio digital 🇨🇴
Toda la actualidad deportiva a tu alcance🌐 
Ponte en modo #SaquedeMeta 📲
Contacto: Prensa@saquedemeta.co 📩","Bogotá, Colombia",236,5592,44658,2015-04-06 23:04:52,2021-05-18 18:02:13,0,"#FUTBOLxSDM📲⚽️
𝗣𝗥𝗘𝗣𝗔𝗥𝗔𝗡𝗗𝗢 𝗠𝗢𝗧𝗢𝗥𝗘𝗦💥
Mediante un comunicado la @fcfseleccioncol informó cómo ha sido el trabajo estos meses previos de la #SelecciónColombia🇨🇴 a mando de #ReinaldoRueda👔 La tricolor se enfrentará ante #Perú🇵🇪 y #Argentina🇦🇷 el 3 y 8 de Junio🔥 https://t.co/5C174yHF6K","[{'text': 'FUTBOLxSDM', 'indices': [0, 11]}, {'text': 'SelecciónColombia', 'indices': [136, 154]}, {'text': 'ReinaldoRueda', 'indices': [168, 182]}, {'text': 'Perú', 'indices': [215, 220]}, {'text': 'Argentina', 'indices': [225, 235]}]"
futbolred,Noticias 📋 y estadísticas 📈 del fútbol profesional en Colombia y el mundo ⚽️ Síganos en Instagram y en Facebook como @Futbolredcom,Bogotá,642,873191,239950,2008-04-15 21:09:25,2021-05-18 15:00:30,1,"#SelecciónColombia

Este miércoles saldrá la convocatoria de la tricolor y Vélez aprovechó para hacer varias exigencias. https://t.co/4fUSubj2KJ","[{'text': 'SelecciónColombia', 'indices': [0, 18]}]"
10_santigol,"Santiago Valencia ( cuenta nueva)
Hincha de Millonarios 💙⚽️ , Leicester City y Selecciòn Colombia sueño con ser periodista deportivo",,764,60,2978,2019-04-18 22:52:45,2021-05-18 11:15:34,1,"https://t.co/oXyKBguEXK
COLOMBIANOS POR EL MUNDO : RESUMEN FIN DE SEMANA 15 - 16 DE MAYO 2021
Por: @10_santigol 
#Cuadrado #DuvanZapata #Luisdiaz #RogerMartinez #colombianosenelexterior #seleccioncolombia #blogger https://t.co/OuRdeczbB3","[{'text': 'Cuadrado', 'indices': [130, 139]}]"
10_santigol,"Santiago Valencia ( cuenta nueva)
Hincha de Millonarios 💙⚽️ , Leicester City y Selecciòn Colombia sueño con ser periodista deportivo",,764,60,2978,2019-04-18 22:52:45,2021-05-18 11:15:23,1,"https://t.co/oXyKBguEXK
COLOMBIANOS POR EL MUNDO : RESUMEN FIN DE SEMANA 15 - 16 DE MAYO 2021
Por: @10_santigol 
#Cuadrado #DuvanZapata #Luisdiaz #RogerMartinez #colombianosenelexterior #seleccioncolombia #blogger https://t.co/OuRdeczbB3","[{'text': 'Cuadrado', 'indices': [113, 122]}, {'text': 'DuvanZapata', 'indices': [123, 135]}, {'text': 'Luisdiaz', 'indices': [136, 145]}, {'text': 'RogerMartinez', 'indices': [146, 160]}, {'text': 'colombianosenelexterior', 'indices': [161, 185]}, {'text': 'seleccioncolombia', 'indices': [186, 204]}, {'text': 'blogger', 'indices': [205, 213]}]"
10_santigol,"Santiago Valencia ( cuenta nueva)
Hincha de Millonarios 💙⚽️ , Leicester City y Selecciòn Colombia sueño con ser periodista deportivo",,764,60,2978,2019-04-18 22:52:45,2021-05-18 04:56:17,1,"https://t.co/mvJe8q9pxh 
Por : @10_santigol @enlas5con50 
#JuanCuadrado #DuvanZapata #LuisDiaz #RogerMartinez #CarlosBacca #colombianosenelexterior 
#futbol #seleccioncolombia #soccer #deportes #sports #podcast","[{'text': 'JuanCuadrado', 'indices': [75, 88]}, {'text': 'DuvanZapata', 'indices': [89, 101]}, {'text': 'LuisDiaz', 'indices': [102, 111]}, {'text': 'RogerMartinez', 'indices': [112, 126]}, {'text': 'CarlosBacca', 'indices': [127, 139]}]"
10_santigol,"Santiago Valencia ( cuenta nueva)
Hincha de Millonarios 💙⚽️ , Leicester City y Selecciòn Colombia sueño con ser periodista deportivo",,764,60,2978,2019-04-18 22:52:45,2021-05-18 04:56:10,1,"https://t.co/mvJe8q9pxh 
Por : @10_santigol @enlas5con50 
#JuanCuadrado #DuvanZapata #LuisDiaz #RogerMartinez #CarlosBacca #colombianosenelexterior 
#futbol #seleccioncolombia #soccer #deportes #sports #podcast","[{'text': 'JuanCuadrado', 'indices': [58, 71]}, {'text': 'DuvanZapata', 'indices': [72, 84]}, {'text': 'LuisDiaz', 'indices': [85, 94]}, {'text': 'RogerMartinez', 'indices': [95, 109]}, {'text': 'CarlosBacca', 'indices': [110, 122]}, {'text': 'colombianosenelexterior', 'indices': [123, 147]}, {'text': 'futbol', 'indices': [149, 156]}, {'text': 'seleccioncolombia', 'indices': [157, 175]}, {'text': 'soccer', 'indices': [176, 183]}, {'text': 'deportes', 'indices': [184, 193]}, {'text': 'sports', 'indices': [194, 201]}, {'text': 'podcast', 'indices': [202, 210]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:46:23,0,"@BluRadioCo ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [213, 240]}, {'text': 'Copaamerica', 'indices': [241, 253]}, {'text': 'SelecciónColombia', 'indices': [254, 272]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:46:00,0,"@CamiloBoterol @jhongiltv @oscartobonc @JulianMCespedes @juanrafael103 @macamilavergara @Cafegolcol @ProduccionesFhc ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [318, 345]}, {'text': 'Copaamerica', 'indices': [346, 358]}, {'text': 'SelecciónColombia', 'indices': [359, 377]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:45:19,0,"@SantaFe ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [210, 237]}, {'text': 'Copaamerica', 'indices': [238, 250]}, {'text': 'SelecciónColombia', 'indices': [251, 269]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:41:25,0,"@ESPNColombia ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [215, 242]}, {'text': 'Copaamerica', 'indices': [243, 255]}, {'text': 'SelecciónColombia', 'indices': [256, 274]}]"
Monikhin,Esp Alta Gerencia.Admón Negocios.Admón Doc.Gestión Organizacional.Natación.AtlNacional. Bicampeón Continental 🏆1989💚2016🏆#SDVSF Columnista en @CapsulasFutbol,Medellín-Colombia,3833,35800,66300,2010-11-07 20:22:14,2021-05-18 01:33:18,1,"ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia @Monikhin",[]
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:31:58,0,"@GolCaracol ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [213, 240]}, {'text': 'Copaamerica', 'indices': [241, 253]}, {'text': 'SelecciónColombia', 'indices': [254, 272]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:31:01,0,"@WinSportsTV ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [214, 241]}, {'text': 'Copaamerica', 'indices': [242, 254]}, {'text': 'SelecciónColombia', 'indices': [255, 273]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:29:18,0,"ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia @brecas1","[{'text': 'Eliminatoriassudamericanas', 'indices': [201, 228]}, {'text': 'Copaamerica', 'indices': [229, 241]}, {'text': 'SelecciónColombia', 'indices': [242, 260]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:28:58,0,"ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia @pilarvelasquezv","[{'text': 'Eliminatoriassudamericanas', 'indices': [201, 228]}, {'text': 'Copaamerica', 'indices': [229, 241]}, {'text': 'SelecciónColombia', 'indices': [242, 260]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:27:23,0,"@ESPNArgentina ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [216, 243]}, {'text': 'Copaamerica', 'indices': [244, 256]}, {'text': 'SelecciónColombia', 'indices': [257, 275]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:20:43,0,"ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia @faymartinez2","[{'text': 'Eliminatoriassudamericanas', 'indices': [201, 228]}, {'text': 'Copaamerica', 'indices': [229, 241]}, {'text': 'SelecciónColombia', 'indices': [242, 260]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:20:30,1,"ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia @Monikhin","[{'text': 'Eliminatoriassudamericanas', 'indices': [201, 228]}, {'text': 'Copaamerica', 'indices': [229, 241]}, {'text': 'SelecciónColombia', 'indices': [242, 260]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:12:58,0,"@SC_ESPN ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [210, 237]}, {'text': 'Copaamerica', 'indices': [238, 250]}, {'text': 'SelecciónColombia', 'indices': [251, 269]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:12:36,0,"@josefdosalazar @AguilasDoradas ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [233, 260]}, {'text': 'Copaamerica', 'indices': [261, 273]}, {'text': 'SelecciónColombia', 'indices': [274, 292]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:12:23,0,"@CaracolDeportes ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [218, 245]}, {'text': 'Copaamerica', 'indices': [246, 258]}, {'text': 'SelecciónColombia', 'indices': [259, 277]}]"
FutbolisticoTV,"Instagram: https://t.co/HfGatP4ouL YouTube: https://t.co/fa2OPQSryp
Twitch: https://t.co/iYyhwHV3Ub
Facebook: https://t.co/4vOCI7WoYE",,680,286,1263,2017-01-02 17:02:05,2021-05-18 01:07:34,0,"@ESPNColombia YA AL AIRE!! LA QUINTA AMARILLA: DEBATE MODO SELECCIÓN 

Suscríbete gratis, activa notificaciones, opina en el chat y dale like• Televisión Todo por nuestro canal de YouTube:https://t.co/UVA7W8VN6F
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [212, 239]}, {'text': 'Copaamerica', 'indices': [240, 252]}, {'text': 'SelecciónColombia', 'indices': [253, 271]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:06:58,0,"@GolCaracol ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [213, 240]}, {'text': 'Copaamerica', 'indices': [241, 253]}, {'text': 'SelecciónColombia', 'indices': [254, 272]}]"
FutbolisticoTV,"Instagram: https://t.co/HfGatP4ouL YouTube: https://t.co/fa2OPQSryp
Twitch: https://t.co/iYyhwHV3Ub
Facebook: https://t.co/4vOCI7WoYE",,680,286,1263,2017-01-02 17:02:05,2021-05-18 01:06:50,0,"@karenespigo1 @Benzema YA AL AIRE!! con LA QUINTA AMARILLA: MODO SELECCIÓN 

Suscríbete gratis, activa notificaciones, opina en el chat y dale like• Televisión Todo por nuestro canal de YouTube:https://t.co/UVA7W8VN6F
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [218, 245]}, {'text': 'Copaamerica', 'indices': [246, 258]}, {'text': 'SelecciónColombia', 'indices': [259, 277]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:06:47,0,"@DiarioOle ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [212, 239]}, {'text': 'Copaamerica', 'indices': [240, 252]}, {'text': 'SelecciónColombia', 'indices': [253, 271]}]"
L_Aristizabal,Hijo de Dios • Comunicador Social y Periodista con Énfasis en Comunicación Organizacional • Periodista Deportivo • Relator / Panelista de @FutbolisticoTV 🎙️,Colombia,436,576,20425,2010-08-06 02:04:34,2021-05-18 01:06:31,0,"@futbolred ATENCIÓN🚨QUINTA AMARILLA: MODO SELECCIÓN 8:00pm🇨🇴/ 9horaEste🇺🇸/22h🇦🇷|Suscríbete gratis, activa notificaciones, opina en el chat y dale like• 📺 Todo por nuestro canal de YouTube:https://t.co/CoXdH08uJU
#Eliminatoriassudamericanas #Copaamerica #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [212, 239]}, {'text': 'Copaamerica', 'indices': [240, 252]}, {'text': 'SelecciónColombia', 'indices': [253, 271]}]"
FutbolisticoTV,"Instagram: https://t.co/HfGatP4ouL YouTube: https://t.co/fa2OPQSryp
Twitch: https://t.co/iYyhwHV3Ub
Facebook: https://t.co/4vOCI7WoYE",,680,286,1263,2017-01-02 17:02:05,2021-05-18 01:05:50,0,"@soydejunior_ @JuniorClubSA @FluminenseFC YA AL AIRE!!Luz giratoria de coches de policíaLA QUINTA AMARILLA: MODO SELECCIÓN 

Suscríbete gratis, activa notificaciones, opina en el chat y dale like• Televisión Todo por nuestro canal de YouTube:https://t.co/UVA7W8VN6F
#Eliminatoriassudamericanas #SelecciónColombia","[{'text': 'Eliminatoriassudamericanas', 'indices': [266, 293]}, {'text': 'SelecciónColombia', 'indices': [294, 312]}]"
