username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
RobertVig1306,"Humanoide con berretín de periodista y analista no académico de medios, futbolero, desculador de hormigas y fan de los memes (twitero vespertino)",Paraná,2939,452,13988,2013-11-28 01:37:57,2021-05-20 00:27:48,1,25 minutos estuvieron los colombianos que hay que patearle a un arquero improvisado  #IndependienteSantaFe #CopaLibertadores,"[{'text': 'IndependienteSantaFe', 'indices': [85, 106]}, {'text': 'CopaLibertadores', 'indices': [107, 124]}]"
elhinchadice,"Presentamos al mundo las lesiones mentales, autogoles de autoestima, chilenas de ideas, tunelitos de vergüenza y sombreritos de ocurrencias de los hinchas.",La web,825,964,43531,2014-01-09 19:03:17,2021-05-20 00:27:45,0,"¿Es Enzo Pérez o Barovero el que está en el arco de #RiverPlate? Digan la verdad.

#IndependienteSantaFe #CopaLibertadores","[{'text': 'RiverPlate', 'indices': [52, 63]}, {'text': 'IndependienteSantaFe', 'indices': [83, 104]}, {'text': 'CopaLibertadores', 'indices': [105, 122]}]"
TNTSportsAR,Todo el fútbol de la Liga Profesional y el deporte argentino en un solo lugar ⚽️,,127,490278,136391,2017-04-19 19:50:53,2021-05-20 00:27:41,35,"Así gritó los goles el arquero de RIVER ⚪🔴⚪

Con Enzo Pérez en el arco, el Millonario le gana 2-0 a Independiente Santa Fe por la #CopaLibertadores 🏆 https://t.co/D8o5KaJgVk","[{'text': 'CopaLibertadores', 'indices': [130, 147]}]"
vamosrivervamos,"Noticias, videos, entrevistas, historias, sorteos y todo lo que tenes que saber sobre #RiverPlate ⚪🔴⚪",Argentina,210,1025,4405,2020-03-06 00:06:18,2021-05-20 00:27:38,0,"#CopaLibertadores gritalooooo Enzo 

#VamosRiver 
#JuntosSomosMasGrandes https://t.co/ivNYKgQaBD","[{'text': 'CopaLibertadores', 'indices': [0, 17]}, {'text': 'VamosRiver', 'indices': [37, 48]}, {'text': 'JuntosSomosMasGrandes', 'indices': [50, 72]}]"
FabiParraguezM,Rancaguino Bullanguero de Corazón,Chile,977,12621,786531,2012-03-02 18:58:27,2021-05-20 00:27:32,123,"Es uno de los mejores días de la carrera de Enzo Pérez. No tengo certezas, tampoco dudas. Señoras y señores, el River de Marcelo Gallardo le gana 2-0 a Independiente Santa Fe por la #CopaLibertadores ⚪🔴⚪ https://t.co/AIBAY3HTBT",[]
Sebastrotte221,Hincha del Olimpia🤍🖤y Atlético de Madrid❤️🤍. No todo lo que digo o doy Rt debes de creer,,327,314,34512,2018-08-01 20:16:31,2021-05-20 00:27:31,123,"Es uno de los mejores días de la carrera de Enzo Pérez. No tengo certezas, tampoco dudas. Señoras y señores, el River de Marcelo Gallardo le gana 2-0 a Independiente Santa Fe por la #CopaLibertadores ⚪🔴⚪ https://t.co/AIBAY3HTBT",[]
salomeqp28_,Venezuela|Tachira-1974💛🖤⚽️,,358,99,814,2020-03-31 22:32:27,2021-05-20 00:27:26,3,"🗣️ Ya al aire (previa)
🏆 #CopaLibertadores
🕔 10:00PM 
DvoTachira 🆚 ClubAlwaysReady
🏟️ Pueblo nuevo
📻 Cadena Digital
📡 100.7FM 
💻 https://t.co/EWuFDWkvu2 
🎙️ @javierQuintero_ 
🎧 @AlexisVanegas 
🎧 @Sarayquintero__ 
🎧 @MarcoApache23 
🎧 @luissulbaran
✍️ @salomeqp28_ https://t.co/AiMiiPrsJa","[{'text': 'CopaLibertadores', 'indices': [46, 63]}]"
nelmarck9,"Futbolero
🇻🇪🇮🇹🇨🇴
Sin pelos en la lengua 🌝",,328,14,1266,2020-09-26 20:17:12,2021-05-20 00:27:23,0,"Lo de @SantaFe ah de ser una de las actuaciones de mayor vergüenza, para un un equipo de fútbol, tiene que renunciar el equipo, el técnico, la directiva, TODOS #VerguenzaNacional #CopaLibertadores","[{'text': 'VerguenzaNacional', 'indices': [160, 178]}, {'text': 'CopaLibertadores', 'indices': [179, 196]}]"
danestojoachin,"No tengo Bio. 
Anarquista!!
Solo seguíme.",Rivëndell,104,218,54058,2010-01-14 16:24:22,2021-05-20 00:27:23,0,Increíble lo de riBer ahorita 😱😱😱 #CopaLibertadores,"[{'text': 'CopaLibertadores', 'indices': [34, 51]}]"
Richy_Lopezz,🦇,Ciudad Autónoma de Buenos Aire,173,111,667,2015-07-24 17:48:17,2021-05-20 00:27:17,123,"Es uno de los mejores días de la carrera de Enzo Pérez. No tengo certezas, tampoco dudas. Señoras y señores, el River de Marcelo Gallardo le gana 2-0 a Independiente Santa Fe por la #CopaLibertadores ⚪🔴⚪ https://t.co/AIBAY3HTBT",[]
GYGY79,A ningún héroe glorifico,Colombia,419,245,10352,2009-08-22 15:12:38,2021-05-20 00:27:16,0,#ParoNacional19M #SOSMEDELLIN #CopaLibertadores #SOSColombiaNosEstanMatando https://t.co/qKsQ6zkQGt,"[{'text': 'ParoNacional19M', 'indices': [0, 16]}, {'text': 'SOSMEDELLIN', 'indices': [17, 29]}, {'text': 'CopaLibertadores', 'indices': [30, 47]}, {'text': 'SOSColombiaNosEstanMatando', 'indices': [48, 75]}]"
javierQuintero_,"NARRADOR DE ⚽ CONDUCTOR @deportesaccion📻 89.7Fm Y @radiofutboltrt 📺(TRT) VOZ OFICIAL. 101.7FM🎤 PADRE (06) Hijos, ATLETA💯🚴🏊🏋️ Fitness, Orgullosamente 🇻🇪","ÜT: 7.7758135,-72.2249685",1583,6073,50353,2009-08-25 01:36:42,2021-05-20 00:27:09,3,"🗣️ Ya al aire (previa)
🏆 #CopaLibertadores
🕔 10:00PM 
DvoTachira 🆚 ClubAlwaysReady
🏟️ Pueblo nuevo
📻 Cadena Digital
📡 100.7FM 
💻 https://t.co/EWuFDWkvu2 
🎙️ @javierQuintero_ 
🎧 @AlexisVanegas 
🎧 @Sarayquintero__ 
🎧 @MarcoApache23 
🎧 @luissulbaran
✍️ @salomeqp28_ https://t.co/AiMiiPrsJa","[{'text': 'CopaLibertadores', 'indices': [46, 63]}]"
BlissPe,chingaos!,Cartagena-Colombia,396,186,5962,2011-04-03 01:35:38,2021-05-20 00:27:07,123,"Es uno de los mejores días de la carrera de Enzo Pérez. No tengo certezas, tampoco dudas. Señoras y señores, el River de Marcelo Gallardo le gana 2-0 a Independiente Santa Fe por la #CopaLibertadores ⚪🔴⚪ https://t.co/AIBAY3HTBT",[]
gallinaconhuevo,/ River vos sos la locura de la que jamás me quiero curar/ 9/12/18 Dejamos de tener rival🐓💯🏆 ✌🏿✌️🧡💚💜,Ciudad Autónoma de Buenos Aire,343,121,1818,2018-09-09 04:20:58,2021-05-20 00:27:06,2,"#CopaLibertadores así abrió el partido #River con el gol de Angileri

Imagen ESPN https://t.co/VKH2wDEQqq","[{'text': 'CopaLibertadores', 'indices': [21, 38]}, {'text': 'River', 'indices': [60, 66]}]"
angel_fcbarsa,Team #FCBarcelona el Futbol es mi pasion. Vamossss #Venezuela. Más Venezolano que la Arepa. FANÁTICO DE LOS GLORIOSOS LEONES DEL CARACAS.,Venezuela,998,47,2611,2016-01-27 19:19:10,2021-05-20 00:27:04,81,"#ConcursoAurinegro 🏆💛🖤

Condiciones:
RT➕MG
ganador con el marcador exacto y usuario en la página
Ser usuario activo (https://t.co/jKbITXpzdk)
1⃣ comentario por usuario
5⃣ premios a repartir
Válido hasta las 10:00 PM

#CopaLibertadores #Libertadores #Aurinegros #FelizMiercoles https://t.co/8EKKxTxP9t","[{'text': 'ConcursoAurinegro', 'indices': [18, 36]}]"
ELTALLERGCHU,"Novias Prét à Porter
@Camilleatelier 
Entre Ríos - Capital Federal",Argentina,3360,1715,209764,2009-11-23 22:58:45,2021-05-20 00:27:03,123,"Es uno de los mejores días de la carrera de Enzo Pérez. No tengo certezas, tampoco dudas. Señoras y señores, el River de Marcelo Gallardo le gana 2-0 a Independiente Santa Fe por la #CopaLibertadores ⚪🔴⚪ https://t.co/AIBAY3HTBT",[]
javierQuintero_,"NARRADOR DE ⚽ CONDUCTOR @deportesaccion📻 89.7Fm Y @radiofutboltrt 📺(TRT) VOZ OFICIAL. 101.7FM🎤 PADRE (06) Hijos, ATLETA💯🚴🏊🏋️ Fitness, Orgullosamente 🇻🇪","ÜT: 7.7758135,-72.2249685",1583,6073,50353,2009-08-25 01:36:42,2021-05-20 00:27:00,3,"🗣️ Ya al aire (previa)
🏆 #CopaLibertadores
🕔 10:00PM 
DvoTachira 🆚 ClubAlwaysReady
🏟️ Pueblo nuevo
📻 Cadena Digital
📡 100.7FM 
💻 https://t.co/EWuFDWkvu2 
🎙️ @javierQuintero_ 
🎧 @AlexisVanegas 
🎧 @Sarayquintero__ 
🎧 @MarcoApache23 
🎧 @luissulbaran
✍️ @salomeqp28_ https://t.co/AiMiiPrsJa","[{'text': 'CopaLibertadores', 'indices': [25, 42]}]"
aaronramiireez,"¡Vida mía, nunca te acabes!🖖🏻 ♻️ 19º 42’ 36’’ N, 98º 27’ 07’’ O / 19.71, -98.451944444444","México, Distrito Federal",328,118,6334,2010-11-17 20:51:10,2021-05-20 00:26:56,3,"Sí River Plate logra sacar ese resultado, mamá mía, será uno de los resultados más importantes en la historia del fútbol y no solamente limitado a la Copa Libertadores. #CopaLibertadores","[{'text': 'CopaLibertadores', 'indices': [169, 186]}]"
kangura22,God Is Love ❤️ And Love is all you need ! #Mendoza #Argentina 🇦🇷✌🏼✌🏼 Lic. Relaciones Internacionales -MBA,"Mendoza, Argentina",2200,450,18146,2011-02-11 15:58:44,2021-05-20 00:26:51,16,#EstamosTodosLocos Cambio de canal para ver #CopaLibertadores y #River  le está ganando a Independiente Santa Fe por 2-0 sin suplentes y con un jugador como arquero 😳,"[{'text': 'EstamosTodosLocos', 'indices': [21, 39]}, {'text': 'CopaLibertadores', 'indices': [65, 82]}, {'text': 'River', 'indices': [85, 91]}]"
DelValleF2020,,"Salta, Argentina",608,195,221881,2012-11-19 00:27:07,2021-05-20 00:26:48,123,"Es uno de los mejores días de la carrera de Enzo Pérez. No tengo certezas, tampoco dudas. Señoras y señores, el River de Marcelo Gallardo le gana 2-0 a Independiente Santa Fe por la #CopaLibertadores ⚪🔴⚪ https://t.co/AIBAY3HTBT",[]
blanca_guillin,Buenos Aires,,704,739,39554,2015-10-18 16:06:19,2021-05-20 00:26:46,123,"Es uno de los mejores días de la carrera de Enzo Pérez. No tengo certezas, tampoco dudas. Señoras y señores, el River de Marcelo Gallardo le gana 2-0 a Independiente Santa Fe por la #CopaLibertadores ⚪🔴⚪ https://t.co/AIBAY3HTBT",[]
FutbolSinFiltro,"RT a contenidos piola de fútbol y algunos de otros deportes (a veces). 
⚠️ PROXIMANENTE NOVEDADES  😉⚽ 
 #FutbolSinFiltro",Argentina,1003,5022,11758,2010-05-27 21:06:20,2021-05-20 00:26:43,19,Los centrales de Independiente Santa Fe  en el Monumental... #CopaLibertadores https://t.co/W3kTr3siEu,"[{'text': 'CopaLibertadores', 'indices': [78, 95]}]"
fulbo_total,Que lindo que es el fulbol pibe!!! ⚽,,60,1,18,2021-05-18 15:49:29,2021-05-20 00:26:41,0,Enzooooooo jajaja #CopaLibertadores,"[{'text': 'CopaLibertadores', 'indices': [18, 35]}]"
Akechi1234,"Alto Uach 💕
Hasta que todo sea como lo soñamos. 
En una Docta que reniega de su origen de mestizaje ✨","Córdoba, Argentina",734,315,33935,2015-03-09 01:51:59,2021-05-20 00:26:37,8,Fabrizio Angileri dedicando a su padre #CopaLibertadores https://t.co/5PujnzQL3L,"[{'text': 'CopaLibertadores', 'indices': [58, 75]}]"
SetaTomas,"19. En la reserva de @teaydeportea. La triple G (Ganar, Gustar y Golear). Adicto a los drops y al revés paralelo.",,236,36,1049,2020-09-02 01:24:50,2021-05-20 00:26:33,3,"Error grosero en la defensa de Independiente de Santa Fe, y tras el fallo de Fontana, se la encontró Angileri que abrió el marcador a favor de River.👇⚽️

#CopaLibertadores 
 https://t.co/nkmctJvqB1",[]
eliassaban98,Dios primero. 💪🏽⚽️🎷🇵🇦,,2151,469,71419,2013-04-21 04:41:16,2021-05-20 00:26:33,22,"Noche histórica en #CopaLibertadores. 🤯

Enzo Pérez, portero de @RiverPlate esta noche en el Monumental. 🏟️ https://t.co/4DXfgafrqG","[{'text': 'CopaLibertadores', 'indices': [40, 57]}]"
NicolasCarp24,Bienvenidos Segunda Cuenta Oficial #ExRiver Hincha De River y Newells #ExNewells Soy Bielsista Bloqueo,Buenos Aires y Cruz Del Eje,5000,954,212233,2016-05-22 21:55:55,2021-05-20 00:26:30,0,"#CopaLibertadores 👇 ¡Nuestro Once Titular Vs Independiente De Santa Fe|!

👥 Suplentes: No Habrá

👔 Dt: Marcelo Gallardo https://t.co/5Rgr64lAcQ","[{'text': 'CopaLibertadores', 'indices': [0, 17]}]"
EncaladaCar,"Machaleño💯
Team de  #LA3raFrecuencia  @ZonaMegaRadioTv 🇪🇨",Machala - Guayaquil,5000,2321,6316,2014-02-04 03:26:17,2021-05-20 00:26:29,0,"TOMA @championsleague ,  la @libertadores y nada más papá 🤯
#EnzoPérez #enzoperez #river #CopaLibertadores #Libertadores2021 #SantaFe
https://t.co/eR73rFByXU","[{'text': 'EnzoPérez', 'indices': [60, 70]}, {'text': 'enzoperez', 'indices': [71, 81]}, {'text': 'river', 'indices': [82, 88]}, {'text': 'CopaLibertadores', 'indices': [89, 106]}, {'text': 'Libertadores2021', 'indices': [107, 124]}, {'text': 'SantaFe', 'indices': [125, 133]}]"
JhonnataMarin,ESTUDIANTE DEL I.U.P. SANTIAGO MARIÑO MATURIN ... ING. MANTENIMIENTO MECANICO,Carupano,504,52,518,2013-03-26 02:36:50,2021-05-20 00:26:28,0,@JuegaEnLinea Gana el Deportivo Táchira 2a1 usuario jhon28 @JuegaEnLinea #CopaLibertadores #Libertadores #Aurinegros #FelizMiercoles,"[{'text': 'CopaLibertadores', 'indices': [73, 90]}, {'text': 'Libertadores', 'indices': [91, 104]}, {'text': 'Aurinegros', 'indices': [105, 116]}, {'text': 'FelizMiercoles', 'indices': [117, 132]}]"
alestaffieri,"Periodista. 
Jugador de Futsal. 
Departamento de prensa de CIFA.",,3385,514,8400,2010-12-11 06:33:45,2021-05-20 00:26:27,19,Los centrales de Independiente Santa Fe  en el Monumental... #CopaLibertadores https://t.co/W3kTr3siEu,"[{'text': 'CopaLibertadores', 'indices': [78, 95]}]"
tintinacosta_99,22 años/BOCA/ Pesca/ música❤,Corrientes capital,121,59,2703,2018-04-07 05:34:57,2021-05-20 00:26:26,19,Los centrales de Independiente Santa Fe  en el Monumental... #CopaLibertadores https://t.co/W3kTr3siEu,"[{'text': 'CopaLibertadores', 'indices': [78, 95]}]"
Deygent,Comento lo q me parece interesante-gracioso / amo a @barbywoow/ #COLOCOLO /Tenis /DBZ/ Basket/fútbol/ Gatos :3 / $ / #VAMOSCHILE / weones graves chao,Weno pa twittear weas,2386,1701,145514,2011-02-13 18:59:59,2021-05-20 00:26:19,1,"River juega el torneo chileno con el equipo que tiene ahora en cancha y sale campeón 10 fechas antes

#CopaLibertadores","[{'text': 'CopaLibertadores', 'indices': [116, 133]}]"
Sami25280250,Te amamos Jefa!!!oo,Siria,9332,10426,84835,2019-04-29 01:06:59,2021-05-20 00:26:16,5,"20' PT Enzo acomodando la barrera
#RIVxSFE (2-0) #CopaLibertadores https://t.co/x723vCXEoW","[{'text': 'RIVxSFE', 'indices': [53, 61]}, {'text': 'CopaLibertadores', 'indices': [68, 85]}]"
GYGY79,A ningún héroe glorifico,Colombia,419,245,10352,2009-08-22 15:12:38,2021-05-20 00:26:14,0,#ParoNacional19M #SOSMEDELLIN #CopaLibertadores #SOSColombiaNosEstanMatando https://t.co/4ODaacKCch,"[{'text': 'ParoNacional19M', 'indices': [0, 16]}, {'text': 'SOSMEDELLIN', 'indices': [17, 29]}, {'text': 'CopaLibertadores', 'indices': [30, 47]}, {'text': 'SOSColombiaNosEstanMatando', 'indices': [48, 75]}]"
futbolecuador,Lo Mejor del Fútbol Ecuatoriano Descarga #Futbolecuador.com en https://t.co/awB5ocJR5H - Únete a nuestro Telegram: https://t.co/epYnZ0136I,Ecuador,276,260279,309546,2009-05-04 18:14:58,2021-05-20 00:26:13,1,"#CopaLibertadores. #Flamengo 0-0 #LDUQ. Ingresa Joao Gomes por Everton Ribeiro, minuto 25

Sigue el minuto a minuto, aquí https://t.co/NA5byyOGPi","[{'text': 'CopaLibertadores', 'indices': [0, 17]}, {'text': 'Flamengo', 'indices': [19, 28]}, {'text': 'LDUQ', 'indices': [33, 38]}]"
Andresrm24,,Medellin,1338,682,25321,2011-02-11 04:59:59,2021-05-20 00:26:10,19,Los centrales de Independiente Santa Fe  en el Monumental... #CopaLibertadores https://t.co/W3kTr3siEu,"[{'text': 'CopaLibertadores', 'indices': [78, 95]}]"
Noe_Urdangaray,"Ex estudiante de Medicina y periodismo. Nac & Pop y riverplatense. Esta cuenta banca a Cristina, Alberto, Axel y Giuseppe Conte
Ig: @noe_urd","Ramos Mejía, La Matanza",462,2060,479262,2011-10-13 23:40:05,2021-05-20 00:26:03,16,#EstamosTodosLocos Cambio de canal para ver #CopaLibertadores y #River  le está ganando a Independiente Santa Fe por 2-0 sin suplentes y con un jugador como arquero 😳,"[{'text': 'EstamosTodosLocos', 'indices': [21, 39]}, {'text': 'CopaLibertadores', 'indices': [65, 82]}, {'text': 'River', 'indices': [85, 91]}]"
Cristia77633493,,,40,7,84,2020-01-05 19:09:54,2021-05-20 00:26:02,0,Un equipo juega sin arquero y en el otro ataja Enzo Pérez  #CopaLibertadores,"[{'text': 'CopaLibertadores', 'indices': [59, 76]}]"
Armandojng,🇻🇪 l'm second. Vacilando e informando.   #GuardameEsaAhi🎙,"Doble A, Punto Fijo-Venezuela",464,1218,54671,2010-08-03 03:29:37,2021-05-20 00:25:59,7,"Gallardo... 😉 El famoso equipo de Gallardo. #CopaLibertadores.

🎥 @SC_ESPN
https://t.co/HJ5ENQSe8s","[{'text': 'CopaLibertadores', 'indices': [65, 82]}]"
HayUnJuancho,No se a donde voy pero estoy en camino...,,1549,4703,22626,2010-02-07 23:37:16,2021-05-20 00:25:59,0,Lo de Enzo Pérez hoy #CopaLibertadores https://t.co/lZSw2YQrDv,"[{'text': 'CopaLibertadores', 'indices': [21, 38]}]"
RiverPlatePho,"☆ River Plate in photos. All photos belong to their respective photographers, NOT us. ☆ Las fotos pertenecen a sus respectivos fotógrafos, NO a nosotros!",,11686,22035,29200,2015-09-15 09:16:31,2021-05-20 00:25:56,8,Fabrizio Angileri dedicando a su padre #CopaLibertadores https://t.co/5PujnzQL3L,"[{'text': 'CopaLibertadores', 'indices': [39, 56]}]"
TheRealCrissJr,"👹 Red Devil

📷 crissj7

👻 crissjr","Madrid, Comunidad de Madrid",1266,136,12060,2018-07-06 00:44:21,2021-05-20 00:25:54,123,"Es uno de los mejores días de la carrera de Enzo Pérez. No tengo certezas, tampoco dudas. Señoras y señores, el River de Marcelo Gallardo le gana 2-0 a Independiente Santa Fe por la #CopaLibertadores ⚪🔴⚪ https://t.co/AIBAY3HTBT",[]
RMAD13UCL,Amante del fútbol y por lo tanto del rey de este gran deporte el REAL MADRID,,61,1,2,2021-05-17 10:07:37,2021-05-20 00:25:48,0,"Lo de @RiverPlate es algo tremendo, Enzo Pérez de portero y sin ningún suplente para poder refrescar el equipo, algo histórico está pasando.. #CopaLibertadores","[{'text': 'CopaLibertadores', 'indices': [142, 159]}]"
CaroMargarita2,"La Yury Enfermera de la maldita primavera, ML presidenta mujer",Colombia,185,154,3682,2019-10-20 01:08:47,2021-05-20 00:25:48,1,#CopaLibertadores mientras todos ven fútbol en Colombia masacran a los jóvenes #ParoNacional #ParoNacional19M #SOSColmbia https://t.co/VUL7BMdQER,"[{'text': 'CopaLibertadores', 'indices': [12, 29]}, {'text': 'ParoNacional', 'indices': [91, 104]}, {'text': 'ParoNacional19M', 'indices': [105, 121]}, {'text': 'SOSColmbia', 'indices': [122, 133]}]"
Natiispandri,⚽️🎙,,365,715,47911,2010-06-21 21:08:30,2021-05-20 00:25:45,13,"¡Sin palabras el gol que acaba de hacer Julián Álvarez!
River domina y gana 2-0 ante Independiente Santa Fe
#CopaLibertadores 🏆 
https://t.co/GeRFELgqGe",[]
scuroscuroscuro,La vita è una luce ammiccante nel buio ..🇮🇹🇪🇸 #Design❤️🖌 #WeGoHard,,1085,357,142151,2014-11-03 10:25:17,2021-05-20 00:25:45,7,"Gallardo... 😉 El famoso equipo de Gallardo. #CopaLibertadores.

🎥 @SC_ESPN
https://t.co/HJ5ENQSe8s","[{'text': 'CopaLibertadores', 'indices': [65, 82]}]"
N0T_US3R,•Nada que me mata la depresión•,In my mind ♫,101,10,207,2021-05-06 02:49:32,2021-05-20 00:25:40,0,El fútbol colombiano siendo el fútbol colombiano #copaLibertadores,"[{'text': 'copaLibertadores', 'indices': [49, 66]}]"
Deygent,Comento lo q me parece interesante-gracioso / amo a @barbywoow/ #COLOCOLO /Tenis /DBZ/ Basket/fútbol/ Gatos :3 / $ / #VAMOSCHILE / weones graves chao,Weno pa twittear weas,2386,1701,145514,2011-02-13 18:59:59,2021-05-20 00:25:40,13,"¡Sin palabras el gol que acaba de hacer Julián Álvarez!
River domina y gana 2-0 ante Independiente Santa Fe
#CopaLibertadores 🏆 
https://t.co/GeRFELgqGe",[]
